balancing,balancing,balancing,battery,battery,battery,battery,battery,load,load,load,node,node,node,pv_spain,pv_spain,pv_spain,pv_spain,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,load_current,load_met,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
252.44219662231566,0.0,-2524.4219662231567,0.0,43.67827666746192,23.443940279731393,-0.0,0.43678276667461924,-26.314334680777463,26.314334680777463,0.0,250.0,-3.3298400867402322,0.0,0.0,0.428197778730383,0.428197778730383,0.0,-2524.4219662231567,-2524.4219662231567,276.31433468077745,276.31433468077745,252.87039440104604,0.0,23.443940279731393,0.0,0.0,276.31433468077745
278.2928648964048,0.0,-2782.928648964048,25.13033768428805,20.23433638773053,0.0,-0.0,0.20234336387730528,-3.580673796574101,3.580673796574101,0.0,250.0,-56.1997766652032,0.0,0.0,0.418146584457336,0.418146584457336,0.0,-2782.928648964048,-2782.928648964048,278.71101148086217,278.71101148086217,278.71101148086217,0.0,0.0,25.130337684288065,0.0,253.5806737965741
262.872310461388,0.0,-2628.72310461388,0.0,45.36467407201858,10.62236250148986,-0.0,0.4536467407201858,-23.882655319825886,23.882655319825886,0.0,250.0,-14.593621213596801,0.0,0.0,0.387982356947981,0.387982356947981,0.0,-2628.72310461388,-2628.72310461388,273.88265531982586,273.88265531982586,263.260292818336,0.0,10.62236250148986,0.0,0.0,273.88265531982586
337.61903456961454,0.0,-3376.1903456961454,43.66924648569517,34.74231157052872,0.0,-0.0,0.3474231157052872,-44.27972434392214,44.27972434392214,0.0,250.0,-13.672469805324884,0.0,0.0,0.32993626000272,0.32993626000272,0.0,-3376.1903456961454,-3376.1903456961454,337.9489708296173,337.9489708296173,337.9489708296173,0.0,0.0,43.66924648569517,0.0,294.2797243439221
259.6425022282866,0.0,-2596.425022282866,0.0,78.4115580562239,1.1305793114059526,-0.0,0.784115580562239,-10.949503827209998,10.949503827209998,0.0,250.0,-44.10809465315699,0.0,0.0,0.176422287517416,0.176422287517416,0.0,-2596.425022282866,-2596.425022282866,260.94950382721,260.94950382721,259.81892451580404,0.0,1.1305793114059526,0.0,0.0,260.94950382721
283.2461266240316,0.0,-2832.461266240316,22.719021255182057,77.28097874481794,0.0,-0.0,0.7728097874481794,-10.527105368849552,10.527105368849552,0.0,250.0,-27.40109402216017,0.0,0.0,0.0,0.0,0.0,-2832.461266240316,-2832.461266240316,283.2461266240316,283.2461266240316,283.2461266240316,0.0,0.0,22.719021255182042,0.0,260.52710536884956
237.12673117227905,0.0,-2371.2673117227905,0.0,100.0,44.76635125823124,-0.0,1.0,-31.8930824305103,31.8930824305103,0.0,250.0,-32.70938052475366,0.0,0.0,0.0,0.0,0.0,-2371.2673117227905,-2371.2673117227905,281.8930824305103,281.8930824305103,237.12673117227905,0.0,44.76635125823124,0.0,0.0,281.8930824305103
272.09352977078294,0.0,-2720.9352977078292,0.0,55.23364874176876,9.816125455029002,-0.0,0.5523364874176876,-31.909655225811964,31.909655225811964,0.0,250.0,-45.257445487966244,0.0,0.0,0.0,0.0,0.0,-2720.9352977078292,-2720.9352977078292,281.90965522581195,281.90965522581195,272.09352977078294,0.0,9.816125455029002,0.0,0.0,281.90965522581195
330.5205092078751,0.0,-3305.2050920787506,42.4564516947958,45.41752328673976,0.0,-0.0,0.4541752328673976,-38.06405751307926,38.06405751307926,0.0,250.0,-13.195832312150147,0.0,0.0,0.0,0.0,0.0,-3305.2050920787506,-3305.2050920787506,330.5205092078751,330.5205092078751,330.5205092078751,0.0,0.0,42.45645169479582,0.0,288.06405751307926
313.09193266313184,0.0,-3130.9193266313187,12.126025018464446,87.87397498153555,0.0,-0.0,0.8787397498153555,-50.965907644667375,50.965907644667375,0.0,250.0,-34.09782225735759,0.0,0.0,0.0,0.0,0.0,-3130.9193266313187,-3130.9193266313187,313.09193266313184,313.09193266313184,313.09193266313184,0.0,0.0,12.126025018464475,0.0,300.96590764466737
